new;old
"preventive";"PREVENTIVE resistance \\(precautionary phase\\)"
"reaction";"In REACTION to the implementation \\(during construction or operation\\)"
"reparations";"Mobilization for reparations once impacts have been felt"
"latent";"LATENT \\(no visible resistance\\)"
"unknown";"Unknown"
